Timetable Code,Timetable Name,Trackernet Code,Trackernet Name,ATCO Code,NaPTAN Name
LEY,Leyton,LEY,Leyton,9400ZZLULYN,Leyton Underground Station
LGR,Ladbroke Grove,LGR,Ladbroke Grove,9400ZZLULAD,Ladbroke Grove Underground Station
LIL,Lillie Bridge Depot,,,,
LON,London Bridge,LON,London Bridge,9400ZZLULNB,London Bridge Underground Station
LRD,London Road Sidings,,,,
LSQ,Leicester Square,LSQ,Leicester Square,9400ZZLULSQ,Leicester Square Underground Station
LST,Liverpool Street,LST,Liverpool Street,9400ZZLULVT,Liverpool Street Underground Station
LTN,Loughton (& Sidings),LTN,Loughton,9400ZZLULGN,Loughton Underground Station
LYS,Leytonstone,LYS,Leytonstone,9400ZZLULYS,Leytonstone Underground Station
MAN,Mansion House,MAN,Mansion House,9400ZZLUMSH,Mansion House Underground Station
MAR,Marble Arch,MAR,Marble Arch,9400ZZLUMBA,Marble Arch Underground Station
MCR,Mornington Crescent,MCR,Mornington Crescent,9400ZZLUMTC,Mornington Crescent Underground Station
MDV,Maida Vale,MDV,Maida Vale,9400ZZLUMVL,Maida Vale Underground Station
MGT,Moorgate,MGT,Moorgate,9400ZZLUMGT,Moorgate Underground Station
MHE,Mill Hill East,MHE,Mill Hill East,9400ZZLUMHL,Mill Hill East Underground Station
MLE,Mile End,MLE,Mile End,9400ZZLUMED,Mile End Underground Station
MNJ,Minories Junction,,,,
MNR,Manor House,MNR,Manor House,9400ZZLUMRH,Manor House Underground Station
MON,Monument,MON,Monument,9400ZZLUMMT,Monument Underground Station
MOR,Morden (& Depot),MOR,Morden,9400ZZLUMDN,Morden Underground Station
MPK,Moor Park,MPK,Moor Park,9400ZZLUMPK,Moor Park Underground Station
MYB,Marylebone (Bloo),MYB,Marylebone,9400ZZLUMYB,Marylebone Underground Station
MYL,Marylebone (NR),,,9100MARYLBN,London Marylebone Rail Station
NAC,North Acton,NAC,North Acton,9400ZZLUNAN,North Acton Underground Station
NAJ,North Acton Junction,,,,
NEA,Neasden (& Depot),NEA,Neasden,9400ZZLUNDN,Neasden Underground Station
NEL,North Ealing,NEL,North Ealing,9400ZZLUNEN,North Ealing Underground Station
NEP,Newbury Park,NEP,Newbury Park,9400ZZLUNBP,Newbury Park Underground Station
NFD,Northfields (& Depot),NFD,Northfields,9400ZZLUNFD,Northfields Underground Station
NGW,North Greenwich,NGW,North Greenwich,9400ZZLUNGW,North Greenwich Underground Station
NHG,Notting Hill Gate,NHG,Notting Hill Gate,9400ZZLUNHG,Notting Hill Gate Underground Station
NHR,North Harrow,NHR,North Harrow,9400ZZLUNHA,North Harrow Underground Station
NHT,Northolt,NHT,Northolt,9400ZZLUNHT,Northolt Underground Station
NPK,Northumberland Park Depot (& Staff Pfm),,,,
NSJ,Neasden South Junction (NR),,,,
NWD,Northwood,NWD,Northwood,9400ZZLUNOW,Northwood Underground Station
NWH,Northwood Hills,NWH,Northwood Hills,9400ZZLUNWH,Northwood Hills Underground Station
NWM,North Wembley,NWM,North Wembley,9400ZZLUNWY,North Wembley Underground Station
NWP,Northwick Park,NWP,Northwick Park,9400ZZLUNKP,Northwick Park Underground Station
OAK,Oakwood,OAK,Oakwood,9400ZZLUOAK,Oakwood Underground Station
OLD,Old Street,OLD,Old Street,9400ZZLUODS,Old Street Underground Station
OLY,Olympia,OLY,Olympia,9400ZZLUKOY,Kensington (Olympia) Underground Station
OST,Osterley,OST,Osterley,9400ZZLUOSY,Osterley Underground Station
OVL,Oval,OVL,Oval,9400ZZLUOVL,Oval Underground Station
OXC,Oxford Circus,OXC,Oxford Circus,9400ZZLUOXC,Oxford Circus Underground Station
PAD,Paddington,PAD,Paddington,9400ZZLUPAH,Paddington (H&C Line)-Underground
PAD,Paddington,PADc,Paddington Circle,9400ZZLUPAC,Paddington Underground Station
PAD,Paddington,PAD,Paddington,9400ZZLUPAC,Paddington Underground Station
PER,Perivale,PER,Perivale,9400ZZLUPVL,Perivale Underground Station
PGR,Parsons Green,PGR,Parsons Green,9400ZZLUPSG,Parsons Green Underground Station
PIC,Piccadilly Circus,PIC,Piccadilly Circus,9400ZZLUPCC,Piccadilly Circus Underground Station
PIM,Pimlico,PIM,Pimlico,9400ZZLUPCO,Pimlico Underground Station
PIN,Pinner,PIN,Pinner,9400ZZLUPNR,Pinner Underground Station
PKJ,Park Junction,,,,
PLW,Plaistow,PLW,Plaistow,9400ZZLUPLW,Plaistow Underground Station
PPJ,Point Pleasant Junction,,,,
PRD,Preston Road,,,9400ZZLUPRD,Preston Road Underground Station
PRY,Park Royal,PRY,Park Royal,9400ZZLUPKR,Park Royal Underground Station
PST,Praed Street Junction,,,,
PUT,Putney Bridge,PUT,Putney Bridge,9400ZZLUPYB,Putney Bridge Underground Station
QBY,Queensbury,QBY,Queensbury,9400ZZLUQBY,Queensbury Underground Station
QPK,Queen's Park,QPK,Queen's Park,9400ZZLUQPS,Queen's Park Underground Station
QPN,Queen's Park North,,,,
QWY,Queensway,QWY,Queensway,9400ZZLUQWY,Queensway Underground Station
RAY,Raynes Park,,,9100RAYNSPK,Raynes Park Rail Station
RCP,Ravenscourt Park,RCP,Ravenscourt Park,9400ZZLURVP,Ravenscourt Park Underground Station
RED,Redbridge,RED,Redbridge,9400ZZLURBG,Redbridge Underground Station
RIM,Ruislip IMR,,,,
RKY,Rickmansworth (& Sidings),RKY,Rickmansworth,9400ZZLURKW,Rickmansworth Underground Station
RLN,Rayners Lane,RLN,Rayners Lane,9400ZZLURYL,Rayners Lane Underground Station
RMD,Richmond,RMD,Richmond,9400ZZLURMD,Richmond Underground Station
ROD,Roding Valley,ROD,Roding Valley,9400ZZLURVY,Roding Valley Underground Station
ROY,Royal Oak,ROY,Royal Oak,9400ZZLURYO,Royal Oak Underground Station
RPK,Regents Park,RPK,Regent's Park,9400ZZLURGP,Regent's Park Underground Station
RSQ,Russell Square,RSQ,Russell Square,9400ZZLURSQ,Russell Square Underground Station
RUG,Ruislip Gardens,RUG,Ruislip Gardens,9400ZZLURSG,Ruislip Gardens Underground Station
RUI,Ruislip,RUI,Ruislip,9400ZZLURSP,Ruislip Underground Station
RUM,Ruislip Manor,RUM,Ruislip Manor,9400ZZLURSM,Ruislip Manor Underground Station
SAC,South Acton,,,9100SACTON,South Acton Rail Station
SBC,Shepherds Bush,SBC,Shepherds Bush (Central Line),9400ZZLUSBC,Shepherd's Bush (Central) Underground Station
SBM,Shepherds Bush Market,SBM,Shepherd's Bush Market,9400ZZLUSBM,Shepherd's Bush Market Underground Station
SDJ,Stratford Market Junction,,,,
SEL,South Ealing,SEL,South Ealing,9400ZZLUSEA,South Ealing Underground Station
SFD,Stratford (& Depot),SFD,Stratford,9400ZZLUSTD,Stratford Underground Station
SFS,Southfields,SFS,Southfields,9400ZZLUSFS,Southfields Underground Station
SGT,Southgate,SGT,Southgate,9400ZZLUSGT,Southgate Underground Station
SHL,Sudbury Hill,SHL,Sudbury Hill,9400ZZLUSUH,Sudbury Hill Underground Station
SHO,Shoreditch (Closed),,,,
SHP,South Hampstead,,,9100SHMPSTD,South Hampstead Rail Station
SHR,South Harrow (& Sidings),SHR,South Harrow,9400ZZLUSHH,South Harrow Underground Station
SJP,St. James's Park,SJP,St. James's Park,9400ZZLUSJP,St. James's Park Underground Station
SJW,St. John's Wood,SJW,St. John's Wood,9400ZZLUSJW,St. John's Wood Underground Station
SKN,South Kensington,SKN,South Kensington,9400ZZLUSKS,South Kensington Underground Station
SKT,South Kenton,SKT,South Kenton,9400ZZLUSKT,South Kenton Underground Station
SNB,Snaresbrook,SNB,Snaresbrook,9400ZZLUSNB,Snaresbrook Underground Station
